type,title,reference,status,description,date_lodged,date_signed,eiar,nis,parties,Latitude,Longitude
Planning Appeal,"4/5/6, Aclare Nursing Home, Tivoli Terrace South, Dun Laoghaire, Co Dublin",313618,Grant permission with revised conditions,Development consisting of demolition of existing conservatory and extensions to the rear of the existing nursing ho...,20/05/2022,16/01/2024,No,No,"Breege Muldowney Aclare Nursing Home
								(Applicant); Anne Milner
								(3rd Party Appellant)
															(Active); Anthony and Caoimhe Kelly
								(3rd Party Appellant)
															(Invalid); Graham and Fiona Mongey
								(3rd Party Appellant)
															(Active); Ivan and Mary Sutton
								(3rd Party Appellant)
															(Active); Clare Duignan
								(3rd Party Appellant)
															(Active); Cait Delaney
								(3rd Party Appellant)
															(Active)",53.3493795,-6.2605593
Planning Appeal,"484A North Circular Road, Dublin 1, D01 RX59",313663,Refuse Permission,"Demolition of the single storey retail shop,  construction of a 3 storey (2 storey over basement level) - 2 bedroom...",27/05/2022,04/03/2024,No,No,"Mattew Kelly
								(Applicant); Matthew Kelly
								(1st Party Appellant)
															(Active)",53.35761632271406,-6.250868920763088
Planning Appeal,"Lands at the Silver Granite pub, Palmerstown, Dublin 20",313828,Refuse Permission,Demolition of existing building and construction of 5 storey over partial basement mixed use development comprising...,17/06/2022,18/01/2024,No,No,"Hollyville Investments Ltd
								(Applicant); Joan Sheahan
								(3rd Party Appellant)
															(Active); Dermot Keogh
								(3rd Party Appellant)
															(Active); The Moriarty Group
								(3rd Party Appellant)
															(Active); Kennelsfort Management Company Limited
								(3rd Party Appellant)
															(Active)",,
Planning Appeal,"Lands at Turvey Avenue, Donabate, Co. Dublin",313836,Grant permission with revised conditions,A single storey retail development consisting of 1 no. retail supermarket,17/06/2022,24/01/2024,No,No,"Packside Ltd
								(Applicant); Gerard Ronan and others
								(3rd Party Appellant)
															(Active); Anthony Cunningham
								(3rd Party Appellant)
															(Active)",,
Planning Appeal,"1.03 hectare site at the existing Aldi Store site, St. Margaret's Road, Finglas, Dublin 11",313917,Grant Permissions with Conditions,The proposed development involves: (1) the demolition of the existing Aldi store; (2) construction of a 2 storey co...,27/06/2022,09/04/2024,No,No,"Aldi Stores (Ireland) Limited
								(Applicant); ALDI Stores Ireland Limited
								(1st Party Appellant)
															(Active)",53.4055159,-6.2759764
Planning Appeal,"66, Clonliffe Road, corner with Tolka Road, Dublin 3.",314007,Refuse outline permission,"Outline permission for new four storey apartment block to the rear of 66 Clonliffe road, accessed from Tolka road, ...",05/07/2022,22/01/2024,No,No,"MIRAL Building Contractors Ltd.
								(Applicant); David Ivers
								(3rd Party Appellant)
															(Active)",53.36537425,-6.177923926091211
Planning Appeal,"St. Finian's Church, River Valley, Swords, Co. Dublin",314040,Grant permission with revised conditions,Construction of parish centre and 58 unit sheltered housing apartments.,11/07/2022,21/02/2024,No,No,"Dunne Better Build Limited
								(Applicant); Board of Management Holy Family SNS
								(3rd Party Appellant)
															(Active); Board of Management of Holy Family JNS
								(3rd Party Appellant)
															(Active); Joe Newman
								(3rd Party Appellant)
															(Active); Angelo Cunningham
								(3rd Party Appellant)
															(Active); Board of Management Holy Family SNS
								(3rd Party Appellant)
															(Withdrawn); Cllr Joe Newman
								(3rd Party Appellant)
															(Active)",53.4532459,-6.240857081062357
Planning Appeal,"3-5 Prospect Square, Glasnevin, Dublin 9, D09 AP62.",314053,Grant Permissions with Conditions,"Removal of the existing single storey rear extension and partial removal of the two storey external walls, external...",11/07/2022,16/01/2024,No,No,"Sinead Kavanagh
								(Applicant); Sinead Kavanagh
								(1st Party Appellant)
															(Active)",53.3693445,-6.271958104774972
Referral,"The Druids Chair, Killiney Village, Killiney Hill Road, Killiney, Co Dublin.",314088,Dismissed-nature of appeal/any previous permission S.138(1)(b),Whether the change of use of C.75m2 of the car park to a beer/outdoor drinking area at the front of the Druids Chai...,13/07/2022,23/05/2024,No,No,"Paul Cosgrave
								(1st party Referrer); Paul Cosgrave
								(1st party Referrer)
															(Active)",53.2491485,-6.11984
Planning Appeal,"Kestrel House, 157 Walkinstown Road, Dublin 12, D12 NN8A with frontage to Cromwellsfort Road an...",314103,Grant permission with revised conditions,"Demolition of two storey building. Construction of 42 apartments, 3 retail units, public house. Telecommunications ...",18/07/2022,27/03/2024,No,No,"Double E Investments Ltd
								(Applicant); Eoin Duff and others
								(3rd Party Appellant)
															(Active); Towercom Limited
								(3rd Party Appellant)
															(Active); Towercom Limited
								(3rd Party Appellant)
															(Withdrawn)",53.3238543,-6.3280914
Planning Appeal,"39-40 Bridgefoot Street, Dublin 8, D08 T6F7.",314157,Refuse Permission,"Demolition of sheds, construction of mixed use development with retail and 44 apartments and all associated site wo...",22/07/2022,01/02/2024,No,No,"Turvey Manor LTD
								(Applicant); Turvey Manor LTD
								(1st Party Appellant)
															(Active)",53.3451628,-6.2808537
Licences S89/S254(6)(A),"On public grass verge on Elmfield Way, adjacant to phone box, Clarehall, Dublin 13.",314165,"Refuse Appeal, Allow License",Section 254 Licence to place a telecommunications cabinet and associated pole on the public footpath.,15/07/2022,27/02/2024,No,No,"Dublin City Council
								(Applicant); Cllr Tom Brabazon on behalf of Residents of Clare Hall
															(Active)",,
Planning Appeal,"8A Henrietta Lane, Dublin 1",314183,Refuse Permission,Demolition of single storey building and construction of 7 residential units,26/07/2022,25/01/2024,No,No,"Easy Living Developments Ltd
								(Applicant); Easy Living Developments Ltd
								(1st Party Appellant)
															(Active)",53.3531946,-6.2698077
Planning Appeal,"site of 0.14 hectares 24 Shanganagh Vale, Loughlinstown, Co. Dublin",314193,Grant permission with revised conditions,Permission is sought for the demolition of an existing single storey detached house and the construction of 4 no. t...,27/07/2022,08/02/2024,No,No,"Penny Alexander
								(Applicant); Jason O'Conaill
								(3rd Party Appellant)
															(Active)",,
Planning Appeal,"Sandymount Avenue, Sandymount, Dublin 4.",314220,Grant permission with revised conditions,Alterations and extension of the permitted residential development permitted under reg. ref. 2800/20 and An Bord Pl...,29/07/2022,08/03/2024,No,No,"Klairon Construction Limited
								(Applicant); Jeremy And Miranda Humphries
								(3rd Party Appellant)
															(Active); Vincent Ryan and Maura Doyle
								(3rd Party Appellant)
															(Invalid); Robert Byrne Olias
								(3rd Party Appellant)
															(Active); Maura Doyle; Robert Byrne Olias
								(3rd Party Appellant)
															(Withdrawn)",53.32779,-6.22080475
Compulsory Acquisition Derelict Site Act,"No. 2 Ranelagh, Dublin 6",314222,Grant consent without modification,Derelict Site detached three storey former business premises.,28/07/2022,29/02/2024,No,No,"Dublin City Council
								(Applicant); Dublin City Council
								(Planning Authority)
															(Active)",53.3252185,-6.2550504
Planning Appeal,"Tibradden Road, Kilmashogue, Dublin 16",314233,Refuse Permission,Permission for development at a site of c. 1.75ha. The development will consist of: the installation of 15 no. glam...,02/08/2022,26/03/2024,No,No,"Libratech Limited
								(Applicant); Libratech Limited
								(1st Party Appellant)
															(Active)",53.260965903323104,-6.297656340547339
Planning Appeal,"Hayden's Lane, Adamstown, Lucan, Co. Dublin",314272,Grant permission with revised conditions,Residential development of 74 apartments,04/08/2022,07/03/2024,No,No,"Jackie Greene Construction Limited
								(Applicant); Patricia Houston and Others
								(3rd Party Appellant)
															(Active); Jean Desmond & Others
								(3rd Party Appellant)
															(Active); Lynda McElherron and Others
								(3rd Party Appellant)
															(Active)",53.33092798888985,-6.4526554721795835
Planning Appeal,"St. Michael's Hospital Car Park, Crofton Road, Dun Laoghaire, County Dublin, A96 TN26",314309,Grant permission with revised conditions,Full permission. The development will consist of the demolition of existing dwelling on site and the construction m...,08/08/2022,08/05/2024,No,No,"Fitzwiliam DL Limited
								(Applicant); Robert and Kate Dobbyn
								(3rd Party Appellant)
															(Active); John Murphy
								(3rd Party Appellant)
															(Active); Bernie Chamberlaine
								(3rd Party Appellant)
															(Active); Thomas Lubliner
								(3rd Party Appellant)
															(Active); Declan O'Regan
								(3rd Party Appellant)
															(Active); Henning Ringholz
								(3rd Party Appellant)
															(Active); Sean & Mary Dorgan
								(3rd Party Appellant)
															(Active); Ivan and Katherine Dempsey
								(3rd Party Appellant)
															(Active); Niamh Mc Gowan
								(3rd Party Appellant)
															(Active); Crofton Buildings Management CLG
								(3rd Party Appellant)
															(Active); Helen Shenton
								(3rd Party Appellant)
															(Active); Katherine Aylmer
								(3rd Party Appellant)
															(Active)",,
Planning Appeal,"Site to the side of 22, Cameron Square, Dublin 8, D08 KVP2",314311,Refuse Permission,"Mixed use development, 3 apartments, medical suites with reception area and associated site works.",09/08/2022,20/02/2024,No,No,"Grobon Ltd.
								(Applicant); Grobon LTD
								(1st Party Appellant)
															(Active)",,
Referral,"Baumann's Yard, Old Dublin Road, Stillorgan, Co Dublin",314387,Is development and is not exempted development,Whether the provision of temporary on-sites structures used as site offices is or is not development or is or is no...,18/08/2022,19/01/2024,No,No,"KW Investments ICAV
								(1st party Referrer); KW Investments ICAV
								(1st party Referrer)
															(Active)",53.29309550000001,-6.2012843
Planning Appeal,"36, 36A and Keem, 37 Church Road, Killiney and 7 Mountain Villa, Ballybrack, Co. Dublin",314436,Refuse Permission,Permission for modifications to previously granted development. The modifications will consist of proposed new addi...,24/08/2022,11/04/2024,No,No,"Kavco Saint Germaine Projects Ltd
								(Applicant); Kavco Saint Germaine Projects Ltd
								(1st Party Appellant)
															(Active)",53.3493795,-6.2605593
Planning Appeal,"5 and 6 Malahide Road, Newtown Cottages, Priorswood, Dublin 17, D17 ND25 & D17 N634.",314445,Refuse Permission,The proposed development will consist of the demolition of 2 single storey existing bungalow dwellings and the cons...,24/08/2022,19/01/2024,No,No,"Melvin Properties Limited and Feltrim Properties Ltd
								(Applicant); Melvin Properties Limited & Feltrim Properties Limited
								(1st Party Appellant)
															(Active)",,
Planning Appeal,"Profile Park, Nangor Road, Clondalkin, Dublin 22",314461,Refuse Permission,10 year permission for development consisting of removal of waste water treatment system and the construction of 2 ...,26/08/2022,14/02/2024,No,Yes,"Digital Netherlands VIII B. V.
								(Applicant); John Conwayand Louth Enviromental Group
								(3rd Party Appellant)
															(Active)",53.316256262838365,-6.441717440228242
Planning Appeal,"26 Parkgate Street, Dublin 8",314468,Refuse Permission,Demolition of building and construction of 5 storey building containing 4 apartments and retail unit with all assoc...,29/08/2022,16/02/2024,No,No,"Paul Kelly & Michael McGowan
								(Applicant); Paul Kelly & Michael McGowan
								(1st Party Appellant)
															(Active)",53.348065389832165,-6.29384830055206
Planning Appeal,"Icon Centre, Pavilion Building, Leopardstown Racecourse, Foxrock, Dublin 18, D18C9V6",314484,Grant Permissions with Conditions,Permission for retention permission is sought for an additional 10sqm of retail space on level 2. Planning permissi...,30/08/2022,09/01/2024,No,No,"Leopardstown Club Ltd
								(Applicant); Leopardstown Club Ltd
								(1st Party Appellant)
															(Active)",,
Planning Appeal,"Charlemont Street/Tom Kelly Road, Dublin 2, D02 P489",314509,Grant Permissions with Conditions,"Amalgamation of 2 units, change of use to licensed premises with restaurant and all associated site works.",01/09/2022,11/04/2024,No,No,"Charlemont Regeneration Limited
								(Applicant); Charlemont Regeneration Limited
								(1st Party Appellant)
															(Active)",,
